n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-1.5,5.0,1.93906,0.00122559124,19.1605241,0.0148041267,47.9013103,0.0370103167,11.945556,0.0096550694,1370102282,20000000,1000000,10,1,0,0.19148,6,15.18
2,-1.484924623115578,5.0,1.93172,0.00135836188,19.0790495,0.0163298967,47.6976237,0.0408247418,11.8932644,0.0106431757,1370102282,20000000,1000000,10,1,0,0.1975,6,15.34
2,-1.4698492462311559,5.0,1.92744,0.00138501214,19.0261386,0.0167473912,47.5653466,0.041868478,11.8586396,0.0109247998,1370102282,20000000,1000000,10,1,0,0.20184,6,15.38
2,-1.4547738693467336,5.0,1.91808,0.00148771894,18.9221597,0.017670935,47.3053992,0.0441773374,11.792011,0.0114998116,1370102282,20000000,1000000,10,1,0,0.20762,6,15.41
2,-1.4396984924623115,5.0,1.912,0.00162905349,18.8520566,0.0198611994,47.1301416,0.0496529984,11.7466005,0.0129579052,1370102282,20000000,1000000,10,1,0,0.2114,6,15.42
2,-1.4246231155778895,5.0,1.90106,0.00181800058,18.7330381,0.0212274985,46.8325954,0.0530687461,11.6705563,0.0137723353,1370102282,20000000,1000000,10,1,0,0.2173,6,15.43
2,-1.4095477386934674,5.0,1.89232,0.00169314422,18.6314399,0.0201933205,46.5785997,0.0504833013,11.604828,0.0131556408,1370102282,20000000,1000000,10,1,0,0.22406,4,15.46
2,-1.3944723618090453,5.0,1.87802,0.00175620483,18.4729978,0.0209204596,46.182535,0.0522954935,11.5033931,0.013616848,1370102282,20000000,1000000,10,1,0,0.2352,6,15.43
2,-1.379396984924623,5.0,1.86778,0.00187433694,18.3551429,0.0220848099,45.8878758,0.0552088997,11.4272728,0.0143650031,1370102282,20000000,1000000,10,1,0,0.2426,6,15.51
2,-1.364321608040201,5.0,1.85036,0.00211996666,18.1697369,0.024061743,45.4243422,0.0601543576,11.3093867,0.0155562201,1370102282,20000000,1000000,10,1,0,0.24966,6,15.54
2,-1.349246231155779,5.0,1.83546,0.00211505257,18.0072888,0.0244322776,45.0182617,0.0610779576,11.2056289,0.0158550656,1370102282,20000000,1000000,10,1,0,0.25534,6,13.27
2,-1.3341708542713568,5.0,1.81528,0.00216128922,17.7933797,0.0251693994,44.4834492,0.0629234985,11.0699061,0.0163407417,1370102282,20000000,1000000,10,1,0,0.2633,6,13.25
2,-1.3190954773869348,5.0,1.79496,0.00217266553,17.5761726,0.0253844779,43.9404506,0.0634582892,10.9315077,0.0165187313,1370102282,20000000,1000000,10,1,0,0.2707,6,13.37
2,-1.3040201005025125,5.0,1.77408,0.00242705103,17.3492203,0.0285296198,43.3730698,0.0713240429,10.7868744,0.0185381499,1370102282,20000000,1000000,10,1,0,0.28106,6,13.41
2,-1.2889447236180904,5.0,1.74528,0.00244318707,17.0428301,0.027448074,42.6071134,0.0686174398,10.5924612,0.0177090134,1370102282,20000000,1000000,10,1,0,0.29,6,13.31
2,-1.2738693467336684,5.0,1.71548,0.00251802307,16.733329,0.0284925583,41.8333416,0.0712289589,10.3968428,0.0184157674,1370102282,20000000,1000000,10,1,0,0.29796,6,13.48
2,-1.2587939698492463,5.0,1.68396,0.00258223651,16.4044514,0.0281323602,41.0111286,0.0703309566,10.1891845,0.018063086,1370102282,20000000,1000000,10,1,0,0.30482,6,13.3
2,-1.2437185929648242,5.0,1.65176,0.00274359598,16.0643215,0.0298221715,40.1608606,0.0745541887,9.97343832,0.0191185424,1370102282,20000000,1000000,10,1,0,0.31042,6,13.22
2,-1.228643216080402,5.0,1.61374,0.00253831079,15.6760696,0.0278478268,39.1901934,0.0696202735,9.72907555,0.0179347311,1370102282,20000000,1000000,10,1,0,0.31604,6,13.53
2,-1.2135678391959799,5.0,1.56994,0.00293565288,15.2253358,0.0314123105,38.0633394,0.0785307763,9.44510558,0.0200781877,1370102282,20000000,1000000,10,1,0,0.32312,6,13.37
2,-1.1984924623115578,5.0,1.51972,0.00296683245,14.7195646,0.0307693331,36.7989309,0.0769200805,9.12800465,0.0195713485,1370102282,20000000,1000000,10,1,0,0.3276,6,13.38
2,-1.1834170854271358,5.0,1.47652,0.00276080542,14.2665276,0.0288888141,35.6663189,0.0722201402,8.84116052,0.0184529427,1370102282,20000000,1000000,10,1,0,0.33266,6,13.38
2,-1.1683417085427137,5.0,1.42164,0.00308117122,13.7144321,0.0324998611,34.2860803,0.0812497613,8.49524845,0.0207387125,1370102282,20000000,1000000,10,1,0,0.33848,6,13.16
