n,tau,lam,beta,H1,H1_std,corr,corr_std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,sign,sign_std,q,qmax,time
100,0.0,1.0,20.0,-0.931587438,0.00707940818,1.86706244,0.014055184,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,15.77
100,0.10050251256281408,1.0,20.0,-0.931587438,0.00707940818,1.84125951,0.013750845,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.78
100,0.20100502512562815,1.0,20.0,-0.931587438,0.00707940818,1.81634687,0.0134863631,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.74
100,0.30150753768844224,1.0,20.0,-0.931587438,0.00707940818,1.79223207,0.0132570725,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.71
100,0.4020100502512563,1.0,20.0,-0.931587438,0.00707940818,1.76884863,0.0130590915,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.75
100,0.5025125628140704,1.0,20.0,-0.931587438,0.00707940818,1.74614736,0.0128889585,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.79
100,0.6030150753768845,1.0,20.0,-0.931587438,0.00707940818,1.7240906,0.0127434781,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.75
100,0.7035175879396985,1.0,20.0,-0.931587438,0.00707940818,1.70264846,0.0126196656,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.71
100,0.8040201005025126,1.0,20.0,-0.931587438,0.00707940818,1.68179627,0.012514735,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.74
100,0.9045226130653267,1.0,20.0,-0.931587438,0.00707940818,1.66151297,0.0124261029,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.14
100,1.0050251256281408,1.0,20.0,-0.931587438,0.00707940818,1.64178,0.0123513952,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.01
100,1.105527638190955,1.0,20.0,-0.931587438,0.00707940818,1.62258056,0.0122884515,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.02
100,1.206030150753769,1.0,20.0,-0.931587438,0.00707940818,1.60389918,0.0122353248,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.03
100,1.306532663316583,1.0,20.0,-0.931587438,0.00707940818,1.58572133,0.0121902768,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.09
100,1.407035175879397,1.0,20.0,-0.931587438,0.00707940818,1.56803324,0.0121517691,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.03
100,1.5075376884422111,1.0,20.0,-0.931587438,0.00707940818,1.55082177,0.012118452,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18
100,1.6080402010050252,1.0,20.0,-0.931587438,0.00707940818,1.53407428,0.0120891509,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.01
100,1.7085427135678393,1.0,20.0,-0.931587438,0.00707940818,1.5177786,0.0120628521,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,17.99
100,1.8090452261306533,1.0,20.0,-0.931587438,0.00707940818,1.50192295,0.0120386879,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.04
100,1.9095477386934674,1.0,20.0,-0.931587438,0.00707940818,1.4864959,0.012015922,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.01
100,2.0100502512562817,1.0,20.0,-0.931587438,0.00707940818,1.47148638,0.0119939359,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.05
100,2.1105527638190957,1.0,20.0,-0.931587438,0.00707940818,1.45688364,0.0119722152,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.08
100,2.21105527638191,1.0,20.0,-0.931587438,0.00707940818,1.44267724,0.0119503377,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.07
100,2.311557788944724,1.0,20.0,-0.931587438,0.00707940818,1.42885703,0.011927962,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.16
100,2.412060301507538,1.0,20.0,-0.931587438,0.00707940818,1.41541313,0.0119048173,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.03
100,2.512562814070352,1.0,20.0,-0.931587438,0.00707940818,1.40233597,0.0118806942,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.06
100,2.613065326633166,1.0,20.0,-0.931587438,0.00707940818,1.38961621,0.0118554363,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.04
100,2.71356783919598,1.0,20.0,-0.931587438,0.00707940818,1.37724479,0.0118289333,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.02
100,2.814070351758794,1.0,20.0,-0.931587438,0.00707940818,1.36521289,0.0118011137,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18
100,2.9145728643216082,1.0,20.0,-0.931587438,0.00707940818,1.35351195,0.0117719398,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.05
100,3.0150753768844223,1.0,20.0,-0.931587438,0.00707940818,1.34213362,0.0117414021,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.09
100,3.1155778894472363,1.0,20.0,-0.931587438,0.00707940818,1.33106982,0.0117095151,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.03
100,3.2160804020100504,1.0,20.0,-0.931587438,0.00707940818,1.32031266,0.0116763133,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.02
100,3.3165829145728645,1.0,20.0,-0.931587438,0.00707940818,1.3098545,0.0116418477,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.15
100,3.4170854271356785,1.0,20.0,-0.931587438,0.00707940818,1.29968787,0.011606183,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,18.06
100,3.5175879396984926,1.0,20.0,-0.931587438,0.00707940818,1.28980557,0.0115693945,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,24.98
100,3.6180904522613067,1.0,20.0,-0.931587438,0.00707940818,1.28020054,0.0115315667,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,24.97
100,3.7185929648241207,1.0,20.0,-0.931587438,0.00707940818,1.27086597,0.0114927902,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.02
