n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,-1.5,20.0,1.95696402,0.00300952446,76.7981697,0.215473164,767.98359,2.15447076,191.676787,0.55854272,3026438146,None,59,100000,1000000,10,1,0,0.86751,8,23.21
100,-1.484924623115578,20.0,1.95521045,0.00314213816,76.6611631,0.223609714,766.611446,2.2360571,191.312593,0.579623394,3026438146,None,59,100000,1000000,10,1,0,0.8836,8,23.73
100,-1.4698492462311559,20.0,1.95342328,0.00336058886,76.5250523,0.235588117,765.254926,2.35549692,190.946131,0.611160011,3026438146,None,59,100000,1000000,10,1,0,0.89642,8,24.01
100,-1.4547738693467336,20.0,1.95251708,0.00323557174,76.4298586,0.234533888,764.297401,2.34530291,190.687117,0.609713118,3026438146,None,59,100000,1000000,10,1,0,0.90233,8,23.79
100,-1.4396984924623115,20.0,1.94759053,0.00350808277,76.1081994,0.253734011,761.081781,2.53758132,189.844595,0.659631317,3026438146,None,59,100000,1000000,10,1,0,0.94797,8,24.81
100,-1.4246231155778895,20.0,1.9426565,0.0038643996,75.7536427,0.277110694,757.537479,2.7707765,188.911178,0.720588019,3026438146,None,59,100000,1000000,10,1,0,1.01104,8,25.94
100,-1.4095477386934674,20.0,1.94027481,0.00407546157,75.5644557,0.288685141,755.645939,2.88635338,188.400619,0.751359204,3026438146,None,59,100000,1000000,10,1,0,1.02882,8,26.59
100,-1.3944723618090453,20.0,1.9364786,0.00408883694,75.2643243,0.295050959,752.643904,2.95041532,187.598481,0.768975109,3026438146,None,59,100000,1000000,10,1,0,1.06902,8,27.65
100,-1.379396984924623,20.0,1.93032701,0.00424379183,74.8832069,0.305264784,748.830523,3.05263947,186.592331,0.796674355,3026438146,None,59,100000,1000000,10,1,0,1.10015,8,28.17
100,-1.364321608040201,20.0,1.92633125,0.00451188782,74.616388,0.3194339,746.163392,3.19388738,185.879783,0.833519174,3026438146,None,59,100000,1000000,10,0.99996,4e-05,1.12007,8,28.22
100,-1.349246231155779,20.0,1.91911884,0.00493710516,74.1416112,0.342434347,741.410401,3.42450165,184.626733,0.892887572,3026438146,None,59,100000,1000000,10,0.99996,2.82274184e-05,1.17589,8,29.28
100,-1.3341708542713568,20.0,1.91277391,0.00509778084,73.6839958,0.35512776,736.835812,3.55162887,183.40434,0.927032035,3026438146,None,59,100000,1000000,10,0.99996,4e-05,1.22202,8,30.12
100,-1.3190954773869348,20.0,1.90390153,0.00546514758,73.0800881,0.380549321,730.800662,3.80560613,181.794682,0.994319757,3026438146,None,59,100000,1000000,10,0.99996,4e-05,1.28791,8,31.35
100,-1.3040201005025125,20.0,1.89550953,0.00565092079,72.472585,0.393580091,724.724618,3.93553602,180.167814,1.02959122,3026438146,None,59,100000,1000000,10,0.99998,2e-05,1.35566,8,32.78
100,-1.2889447236180904,20.0,1.88244163,0.00645026848,71.6484138,0.439382365,716.486964,4.39356007,177.984792,1.14873381,3026438146,None,59,100000,1000000,10,0.99994,4.46494602e-05,1.45473,8,36.04
100,-1.2738693467336684,20.0,1.88071749,0.00621289692,71.5323562,0.41873995,715.318201,4.18782564,177.618347,1.0976574,3026438146,None,59,100000,1000000,10,0.99994,6e-05,1.38782,6,34.42
100,-1.2587939698492463,20.0,1.86557117,0.00644105081,70.5888308,0.434513702,705.887685,4.34512722,175.100077,1.14139875,3026438146,None,59,100000,1000000,10,0.99992,4.88255644e-05,1.46095,6,35.93
100,-1.2437185929648242,20.0,1.84391883,0.00691542535,69.1297178,0.461432967,691.285982,4.61533864,171.210422,1.2117571,3026438146,None,59,100000,1000000,10,0.99972,0.000171475993,1.63932,8,39.82
