n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
2,1.0,5.0,-0.70898,0.00287382566,6.59415931,0.0272751195,16.4853581,0.0681946906,4.04323474,0.0170802413,1370102282,None,0,100000,1000000,10,1,0,0.3315,6,1.72
100,1.0,5.0,-0.697648401,0.0106222284,6.48026677,0.0905673664,16.200774,0.226415653,3.97208031,0.0570087068,1370102282,None,121,100000,1000000,10,0.99954,0.000188934871,0.32407,4,10.05
2,1.0,5.0,-0.71338,0.00330745513,6.6322382,0.030233406,16.5805955,0.075583515,4.06623997,0.0186624081,3629902865,None,0,100000,1000000,10,1,0,0.33384,6,1.69
100,1.0,5.0,-0.713053077,0.0104724509,6.6407527,0.0971071069,16.6017811,0.242719037,4.07309,0.061320966,3629902865,None,78,100000,1000000,10,0.99838,0.000286760048,0.34512,5,28.34
2,1.0,5.0,-0.7087,0.00300174648,6.58149666,0.0282913946,16.4537216,0.0707294354,4.03386643,0.0176501655,116633646,None,0,100000,1000000,10,1,0,0.33708,6,1.72
100,1.0,5.0,-0.713356757,0.0151375977,6.59870891,0.145417665,16.4908854,0.363217957,4.04551386,0.0903813784,116633646,None,84,100000,1000000,10,0.99104,0.00310558404,0.48765,7,15.48
2,1.0,5.0,-0.70964,0.0032514874,6.60750213,0.0293648458,16.518655,0.0734094292,4.05268634,0.0181570705,2161158202,None,0,100000,1000000,10,1,0,0.32738,6,1.7
100,1.0,5.0,-0.697636554,0.0139631186,6.54616916,0.135680405,16.3605392,0.337984314,4.02684429,0.0845165508,2161158202,None,66,100000,1000000,10,0.84946,0.0131354403,1.42607,15,130.44
2,1.0,5.0,-0.71032,0.00325878337,6.60814295,0.0302270533,16.5203373,0.0755679493,4.05240834,0.0187347507,1224887876,None,0,100000,1000000,10,1,0,0.32932,6,1.73
100,1.0,5.0,-0.719715768,0.0113454949,6.67436051,0.103510033,16.6854387,0.259283241,4.0916497,0.0642793029,1224887876,None,89,100000,1000000,10,0.97098,0.00401590193,0.61346,11,45.82
